project_title,project_number,project_year,sponsoring_forum,proposing_economy,project_status,fund_account,sub_fund,project_session,apec_funding,co_funding_amount,total_project_value,project_cost_usd,topics,committee,other_fora_involved,co_sponsoring_economies,organization_1,organization_2,link
Marketplaces and MSMEs Formalization in APEC Economies,SMEWG_207_2025A,2025,Small and Medium Enterprises Working Group (SMEWG),Chile,Project in Implementation,APEC Support Fund,ASF: General Fund,Session 2,"103,759",0,"103,759",,"Micro, Small and Medium Enterprises",SOM Steering Committee on Economic and Technical Cooperation (SCE),,China; Korea; Peru; Thailand,Undersecretariat for International Economic Relations (SUBREI),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16021
Facilitating the Use of ODR under the APEC Collaborative Framework and in Economies Generally (including in Courts),EC_102_2024A,2024,Economic Committee (EC),Japan,Completed Project,APEC Support Fund,ASF: Strengthening Economic Legal Infrastructure (SELI),Session 1,"149,988","30,000","179,988",,"Legal Infrastructure; Structural Reform; Electronic Commerce; Micro, Small and Medium Enterprises",Economic Committee (EC),,"Hong Kong, China; Indonesia; Papua New Guinea; Thailand; United States; Viet Nam","Ministry of Economy, Trade & Industry (METI)","Ministry of Economy, Trade & Industry (METI)",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15446
Advancing FTAAP Agenda: APEC Digital Trade Provision Handbook,CTI_01_2025S,2025,Committee on Trade and Investment (CTI),Australia,Completed Project,Self-Funded,,,,,,"$250,000.00",Trade Facilitation,Committee on Trade and Investment (CTI),,"Chile; China; Hong Kong, China; Japan; Korea; New Zealand; Singapore; Chinese Taipei; Thailand",Department of Foreign Affairs and Trade,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15714
Digitalization for Green Transitions (PDGT) for APEC Women MSMEs,SMEWG_211_2025A,2025,Small and Medium Enterprises Working Group (SMEWG),Malaysia,Project in Implementation,APEC Support Fund,ASF: Promoting Digitalisation for Green Transitions (PDGT),Session 2,"88,681",0,"88,681",,Digital Technology and Innovation; Green Economy; Women's Economic Empowerment,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Thailand; Viet Nam,"Centre of Entrepreneur Development and Research (CEDAR), Malaysia","Centre of Entrepreneur Development and Research (CEDAR), Malaysia",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15954
Leveraging IP for Green Technology Exports: IP Strategies for Sustainable SMEs in APEC Economies,SMEWG_210_2025A,2025,Small and Medium Enterprises Working Group (SMEWG),Malaysia,Project in Implementation,APEC Support Fund,"ASF: Micro, Small and Medium Enterprises (MSME)",Session 2,"89,881",0,"89,881",,"Micro, Small and Medium Enterprises; Green Economy; Intellectual Property",SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Thailand; Viet Nam,"Centre of Entrepreneur Development and Research (CEDAR), Malaysia","Centre of Entrepreneur Development and Research (CEDAR), Malaysia",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15959
Empowering Women-Led MSMEs in Tourism Across APEC EconomiesThrough Green Practices,SMEWG_203_2025,2025,Small and Medium Enterprises Working Group (SMEWG),Malaysia,Project in Implementation,General Project Account,None,Session 2,"71,936",0,"71,936",,Green Economy; Tourism; Women's Economic Empowerment,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Thailand; Viet Nam,"Centre of Entrepreneur Development and Research (CEDAR), Malaysia","Centre of Entrepreneur Development and Research (CEDAR), Malaysia",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15967
Promoting Investment in Disaster Risk Reduction and Adaptation for Resilient Infrastructure in the APEC Region,IEG_02_2026S,2026,Investment Experts Group (IEG),Japan,Project in Implementation,Self-Funded,,,,,,"$83,250.00",Investment,Committee on Trade and Investment (CTI),,Chinese Taipei,"Ministry of Economy, Trade and Industry, Japan",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16083
Advancing Good Regulatory Practices in the APEC Region: Briefing Note,SCSC_03_2026S,2026,Sub-Committee on Standards and Conformance (SCSC),United States,Project in Implementation,Self-Funded,,,,,,"$95,000.00",Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; Japan; Peru; Viet Nam,Office of the United States Trade Representative,The Cadmus Group,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16078
Development of the APEC Strategy to Combat the Rising Obesity Burden,HWG_03_2026S,2026,Health Working Group (HWG),Chile,Project in Implementation,Self-Funded,,,,,,"$120,000.00",Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,"Ministry of Health, Chile",Crowell Global Advisors,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16082
2026 APEC Conference on Practical Approaches to Detecting Adulterants and Prohibited Substances in Foods,SCSC_04_2026S,2026,Sub-Committee on Standards and Conformance (SCSC),Chinese Taipei,Project in Implementation,Self-Funded,,,,,,"$53,000.00",Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; Philippines,"Taiwan Food and Drug Administration (TFDA), Chinese Taipei",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=16081
